Company Name,Funding Stage,Amount,Year Funded,Investor,Industry,Location
WinZO,Series C,79903750,2021,Griffin Gaming Partners,Media and Entertainment,New Delhi
Furlenco,Undisclosed,2000000,2021,Zinnia Global,E-Commerce and Retail,Bangalore
Skylark Drones,Pre-Series A,14747749,2021,InfoEdge Ventures,Transportation and Mobility,Bangalore
Leegality,Pre-Series A,6671339,2021,IIFL,Technology,Gurugram
Arcatron Mobility,Undisclosed,2000000,2021,Klub,Healthcare and Wellness,Pune
TWID,Undisclosed,2000000,2021,BEENEXT,Finance and FinTech,Bangalore
PeakPerformer,Seed Round,955981,2021,Antler India,Education,Bangalore
MyMobiForce,Pre-Series A,6671339,2021,Bharat Inclusion,Technology,Noida
Pine Labs,Undisclosed,2000000,2021,Fidelity,Technology,Noida
Genworks Health,Undisclosed,2000000,2021,Blacksoil,Healthcare and Wellness,Bangalore
